Accession,Date,Clade,Bib_cite_entry
KJ642616,1968-01-01,IIa,milhaud1969analyse
KJ642617,1971-01-01,IIb,foster1972human
KP849470,1971-01-01,IIa,arita1976monkeypox
NC_003310,1996-01-01,I,hutin2001outbreak
JX878410,2006-11-24,I,kugelman2014genomic
JX878428,2007-06-30,I,kugelman2014genomic
OP535341,2017-10-01,IIb,Nnaemeka2022unpublished
OP535340,2017-10-01,IIb,Nnaemeka2022unpublished
OP535337,2017-10-01,IIb,Nnaemeka2022unpublished
OP535336,2017-10-01,IIb,Nnaemeka2022unpublished
OP535335,2017-10-01,IIb,Nnaemeka2022unpublished
OP535323,2017-10-01,IIb,Nnaemeka2022unpublished
OP535322,2017-10-01,IIb,Nnaemeka2022unpublished
MK783032,2017-11-01,IIb,yinka2019outbreak
OP535320,2017-11-01,IIb,Nnaemeka2022unpublished
MK783028,2017-11-09,IIb,yinka2019outbreak
MK783031,2017-11-09,IIb,yinka2019outbreak
MK783030,2017-11-30,IIb,yinka2019outbreak
MK783029,2017-12-06,IIb,yinka2019outbreak
OP535333,2018-01-01,IIb,Nnaemeka2022unpublished
OP535324,2018-02-01,IIb,Nnaemeka2022unpublished
OP535312,2018-02-01,IIb,Nnaemeka2022unpublished
OP535329,2018-03-01,IIb,Nnaemeka2022unpublished
OP535328,2018-03-01,IIb,Nnaemeka2022unpublished
OP535327,2018-03-01,IIb,Nnaemeka2022unpublished
OP535325,2018-06-01,IIb,Nnaemeka2022unpublished
NC_063383,2018-08-01,IIb,mauldin2020exportation
MT903341,2018-08-14,IIb,mauldin2020exportation
MN648051,2018-10-04,IIb,cohen2020identification
MT903344,2018-10-09,IIb,mauldin2020exportation
MT903345,2018-10-09,IIb,mauldin2020exportation
MT903343,2018-10-17,IIb,mauldin2020exportation
MT903342,2019-04-30,IIb,mauldin2020exportation
ON676708,2021-11-01,IIb,gigante2022multiple
ON563414,2022-05-01,IIb,gigante2022multiple
ON694329,2022-05-01,IIb,brinkmann2022possible
OP120937,2022-05-01,IIb,AjaMacaya2022medRxiv
ON649713,2022-05-19,IIb,Isidro2022jun
ON843173,2022-05-27,IIb,Isidro2022jun
ON843172,2022-05-27,IIb,Isidro2022jun
ON843174,2022-05-30,IIb,Isidro2022jun
OP225968,2022-06-01,IIb,gigante2022multiple
ON813267,2022-06-01,IIb,brinkmann2022possible
ON813266,2022-06-01,IIb,brinkmann2022possible
ON813261,2022-06-01,IIb,brinkmann2022possible
ON813255,2022-06-01,IIb,brinkmann2022possible
ON813251,2022-06-01,IIb,brinkmann2022possible
OP764628,2022-06-01,IIb,brinkmann2022possible
OP604533,2022-06-01,IIb,gigante2022multiple
OP604532,2022-06-01,IIb,gigante2022multiple
OP604530,2022-06-01,IIb,gigante2022multiple
OP604529,2022-06-01,IIb,gigante2022multiple
OP604528,2022-06-01,IIb,gigante2022multiple
OP604527,2022-06-01,IIb,gigante2022multiple
OP604522,2022-06-01,IIb,gigante2022multiple
OP837353,2022-06-01,IIb,brinkmann2022possible
OP837352,2022-06-01,IIb,brinkmann2022possible
OP837351,2022-06-01,IIb,brinkmann2022possible
OP837350,2022-06-01,IIb,brinkmann2022possible
OP837349,2022-06-01,IIb,brinkmann2022possible
OP837347,2022-06-01,IIb,brinkmann2022possible
OP837346,2022-06-01,IIb,brinkmann2022possible
OP837345,2022-06-01,IIb,brinkmann2022possible
OP837344,2022-06-01,IIb,brinkmann2022possible
OP837343,2022-06-01,IIb,brinkmann2022possible
OP837342,2022-06-01,IIb,brinkmann2022possible
OP837341,2022-06-01,IIb,brinkmann2022possible
OP837340,2022-06-01,IIb,brinkmann2022possible
OP837339,2022-06-01,IIb,brinkmann2022possible
OP837338,2022-06-01,IIb,brinkmann2022possible
OP837337,2022-06-01,IIb,brinkmann2022possible
OP837336,2022-06-01,IIb,brinkmann2022possible
OP837335,2022-06-01,IIb,brinkmann2022possible
OP837334,2022-06-01,IIb,brinkmann2022possible
OQ099608,2022-06-01,IIb,gigante2022multiple
OP120938,2022-06-01,IIb,AjaMacaya2022medRxiv
ON843176,2022-06-02,IIb,Isidro2022jun
OQ249660,2022-06-08,IIb,Baliere2023unpublished
OP536686,2022-06-09,IIb,Gagnon2022unpublished
OP536688,2022-06-12,IIb,Gagnon2022unpublished
OQ249661,2022-06-14,IIb,Baliere2023unpublished
OP536697,2022-06-17,IIb,Gagnon2022unpublished
OP536702,2022-06-21,IIb,Gagnon2022unpublished
OP536704,2022-06-22,IIb,Gagnon2022unpublished
OP536709,2022-06-23,IIb,Gagnon2022unpublished
OP536712,2022-06-24,IIb,Gagnon2022unpublished
OP536711,2022-06-24,IIb,Gagnon2022unpublished
OP536713,2022-06-25,IIb,Gagnon2022unpublished
OP536731,2022-06-30,IIb,Gagnon2022unpublished
OP123044,2022-07-01,IIb,sereewit2022orf
OP123045,2022-07-01,IIb,sereewit2022orf
OP123041,2022-07-01,IIb,sereewit2022orf
OP123040,2022-07-01,IIb,sereewit2022orf
OP536738,2022-07-01,IIb,Gagnon2022unpublished
OP536737,2022-07-01,IIb,Gagnon2022unpublished
OP536732,2022-07-01,IIb,Gagnon2022unpublished
OP743951,2022-07-01,IIb,sereewit2022orf
OP434519,2022-07-01,IIb,sereewit2022orf
OP392531,2022-07-01,IIb,sereewit2022orf
OP604531,2022-07-01,IIb,gigante2022multiple
OP604526,2022-07-01,IIb,gigante2022multiple
OP604525,2022-07-01,IIb,gigante2022multiple
OP604524,2022-07-01,IIb,gigante2022multiple
OP604523,2022-07-01,IIb,gigante2022multiple
OP604521,2022-07-01,IIb,gigante2022multiple
OP604520,2022-07-01,IIb,gigante2022multiple
OP604519,2022-07-01,IIb,gigante2022multiple
