Accession,Date
KJ642616,1968-01-01
KJ642617,1971-01-01
KP849470,1971-01-01
NC_003310,1996-01-01
JX878428,2007-01-01
JX878410,2007-01-01
MK783028,2017-01-01
MK783030,2017-01-01
MK783032,2017-01-01
MK783031,2017-01-01
MK783029,2017-01-01
MT903337,2018-01-01
MT903340,2018-01-01
MN648051,2018-01-01
MT903343,2018-01-01
MT903344,2018-01-01
MT903345,2018-01-01
NC_063383,2018-01-01
MT903342,2019-01-01
ON676708,2021-01-01
OP257247,2022-01-01
ON563414,2022-01-01
OP257243,2022-01-01
OP123044,2022-01-01
OP123045,2022-01-01
OP123041,2022-01-01
OP123040,2022-01-01
OP225968,2022-01-01
ON649713,2022-01-01
ON843176,2022-01-01
ON843174,2022-01-01
ON843173,2022-01-01
ON843172,2022-01-01
ON694329,2022-01-01
ON813267,2022-01-01
ON813266,2022-01-01
ON813261,2022-01-01
ON813255,2022-01-01
ON813251,2022-01-01
OP215267,2022-01-01
