acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642617.1,ON563414.3,1971-01-01,1971,106196.0,3286,8769,12055,40,0,27,27,0.00037666202116840556,0.0,0.003079028395484092,0.003079028395484092
KP849470.1,ON563414.3,1971-01-01,1971,105853.0,3276,8743,12019,168,8,40,48,0.0015871066478985007,0.002442002442002442,0.0045750886423424455,0.0070170910843448875
JX878428.1,ON563414.3,2007-06-01,2007,105442.0,3272,8705,11977,385,27,47,74,0.003651296447335976,0.008251833740831296,0.005399195864445721,0.013651029605277016
MK783028.1,ON563414.3,2017-11-01,2017,106194.0,3286,8769,12055,24,0,22,22,0.00022600146900954857,0.0,0.0025088379518759265,0.0025088379518759265
MK783030.1,ON563414.3,2017-11-01,2017,106194.0,3286,8769,12055,28,4,22,26,0.00026366838051114,0.0012172854534388314,0.0025088379518759265,0.003726123405314758
MK783032.1,ON563414.3,2017-11-01,2017,106194.0,3286,8769,12055,24,0,22,22,0.00022600146900954857,0.0,0.0025088379518759265,0.0025088379518759265
MK783031.1,ON563414.3,2017-11-01,2017,106194.0,3286,8769,12055,25,1,22,23,0.00023541819688494643,0.00030432136335970786,0.0025088379518759265,0.0028131593152356344
MK783029.1,ON563414.3,2017-12-01,2017,106194.0,3286,8769,12055,25,0,22,22,0.00023541819688494643,0.0,0.0025088379518759265,0.0025088379518759265
MT903337.1,ON563414.3,2020-09-01,2020,106194.0,3286,8769,12055,26,1,22,23,0.0002448349247603443,0.00030432136335970786,0.0025088379518759265,0.0028131593152356344
MT903340.1,ON563414.3,2020-09-01,2020,106194.0,3286,8769,12055,27,3,22,25,0.00025425165263574215,0.0009129640900791236,0.0025088379518759265,0.00342180204195505
MN648051.1,ON563414.3,2018-10-01,2018,106194.0,3286,8769,12055,21,0,18,18,0.000197751285383355,0.0,0.0020526855969893944,0.0020526855969893944
MT903343.1,ON563414.3,2020-09-01,2020,106194.0,3286,8769,12055,20,0,18,18,0.00018833455750795713,0.0,0.0020526855969893944,0.0020526855969893944
MT903342.1,ON563414.3,2020-09-01,2020,106194.0,3286,8769,12055,21,1,18,19,0.000197751285383355,0.00030432136335970786,0.0020526855969893944,0.0023570069603491024
OP257247,ON563414.3,2022-08-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON563414.3,ON563414.3,2022-05-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
OP257243,ON563414.3,2022-08-01,2022,106194.0,3286,8769,12055,2,2,0,2,1.8833455750795712e-5,0.0006086427267194157,0.0,0.0006086427267194157
OP123044,ON563414.3,2022-07-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
OP123045,ON563414.3,2022-07-01,2022,106194.0,3286,8769,12055,1,1,0,1,9.416727875397856e-6,0.00030432136335970786,0.0,0.00030432136335970786
OP123041,ON563414.3,2022-07-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
OP123040,ON563414.3,2022-07-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
OP225968,ON563414.3,2022-06-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON649713.1,ON563414.3,2022-05-01,2022,104998.0,3245,8683,11928,1,1,0,1,9.523990933160631e-6,0.0003081664098613251,0.0,0.0003081664098613251
ON843176,ON563414.3,2022-06-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON843174,ON563414.3,2022-05-01,2022,106194.0,3286,8769,12055,1,0,0,0,9.416727875397856e-6,0.0,0.0,0.0
ON843173,ON563414.3,2022-05-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON843172,ON563414.3,2022-05-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON694329.1,ON563414.3,2022-05-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON813267,ON563414.3,2022-06-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON813266,ON563414.3,2022-06-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON813261,ON563414.3,2022-06-01,2022,106194.0,3286,8769,12055,2,2,0,2,1.8833455750795712e-5,0.0006086427267194157,0.0,0.0006086427267194157
ON813255,ON563414.3,2022-06-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
ON813251,ON563414.3,2022-06-01,2022,105692.0,3278,8731,12009,0,0,0,0,0.0,0.0,0.0,0.0
OP215267,ON563414.3,2022-08-01,2022,106194.0,3286,8769,12055,0,0,0,0,0.0,0.0,0.0,0.0
MT903344,ON563414.3,2020-09-01,2020,106194.0,3286,8769,12055,18,0,16,16,0.00016950110175716142,0.0,0.0018246094195461283,0.0018246094195461283
MT903345,ON563414.3,2020-09-01,2020,106194.0,3286,8769,12055,18,0,16,16,0.00016950110175716142,0.0,0.0018246094195461283,0.0018246094195461283
MT903342,ON563414.3,2020-09-01,2020,106194.0,3286,8769,12055,21,1,18,19,0.000197751285383355,0.00030432136335970786,0.0020526855969893944,0.0023570069603491024
MT903341,ON563414.3,2020-09-01,2020,98105.0,3040,8209,11249,17,0,15,15,0.00017328372661943835,0.0,0.0018272627603849434,0.0018272627603849434
ON676708,ON563414.3,2021-11-01,2021,106194.0,3286,8769,12055,6,1,3,4,5.650036725238714e-5,0.00030432136335970786,0.00034211426616489907,0.0006464356295246069
OP498046,ON563414.3,1988-01-01,1988,105611.0,3275,8718,11993,392,29,47,76,0.0037117345731031808,0.008854961832061069,0.005391144757972012,0.014246106590033081
NC_003310,ON563414.3,1996-01-01,1996,105613.0,3275,8718,11993,407,28,48,76,0.0038536922537945138,0.008549618320610687,0.0055058499655884375,0.014055468286199125
NC_063383,ON563414.3,2018-08-01,2018,106194.0,3286,8769,12055,27,3,22,25,0.00025425165263574215,0.0009129640900791236,0.0025088379518759265,0.00342180204195505
KJ642616,ON563414.3,1968-01-01,1968,105853.0,3276,8743,12019,165,7,38,45,0.001558765457757456,0.002136752136752137,0.004346334210225323,0.00648308634697746
JX878410,ON563414.3,2006-11-01,2006,105442.0,3272,8705,11977,378,27,46,73,0.0035849092392025946,0.008251833740831296,0.0052843193566915565,0.013536153097522853
