acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642617.1,MN648051.1,1971-01-01,1971,107425.0,3335,8819,12154,21,0,9,9,0.00019548522224808006,0.0,0.0010205238689193787,0.0010205238689193787
KP849470.1,MN648051.1,1971-01-01,1971,106867.0,3322,8778,12100,153,8,22,30,0.0014316861145161743,0.002408187838651415,0.002506265664160401,0.004914453502811816
JX878428.1,MN648051.1,2007-06-01,2007,106408.0,3310,8743,12053,376,27,36,63,0.0035335689045936395,0.008157099697885197,0.004117579778108201,0.012274679475993398
MK783028.1,MN648051.1,2017-11-01,2017,108076.0,3351,8867,12218,5,0,4,4,4.6263740330878274e-5,0.0,0.0004511108604939664,0.0004511108604939664
MK783030.1,MN648051.1,2017-11-01,2017,108076.0,3351,8867,12218,9,4,4,8,8.327473259558088e-5,0.001193673530289466,0.0004511108604939664,0.0016447843907834324
MK783032.1,MN648051.1,2017-11-01,2017,108076.0,3351,8867,12218,5,0,4,4,4.6263740330878274e-5,0.0,0.0004511108604939664,0.0004511108604939664
MK783031.1,MN648051.1,2017-11-01,2017,108076.0,3351,8867,12218,6,1,4,5,5.551648839705393e-5,0.0002984183825723665,0.0004511108604939664,0.0007495292430663329
MK783029.1,MN648051.1,2017-12-01,2017,108076.0,3351,8867,12218,6,0,4,4,5.551648839705393e-5,0.0,0.0004511108604939664,0.0004511108604939664
MT903337.1,MN648051.1,2020-09-01,2020,108076.0,3351,8867,12218,7,1,4,5,6.476923646322957e-5,0.0002984183825723665,0.0004511108604939664,0.0007495292430663329
MT903340.1,MN648051.1,2020-09-01,2020,108076.0,3351,8867,12218,8,3,4,7,7.402198452940523e-5,0.0008952551477170994,0.0004511108604939664,0.0013463660082110658
MN648051.1,MN648051.1,2018-10-01,2018,108076.0,3351,8867,12218,0,0,0,0,0.0,0.0,0.0,0.0
MT903343.1,MN648051.1,2020-09-01,2020,108016.0,3351,8867,12218,1,0,0,0,9.257887720337728e-6,0.0,0.0,0.0
MT903342.1,MN648051.1,2020-09-01,2020,108076.0,3351,8867,12218,2,1,0,1,1.8505496132351307e-5,0.0002984183825723665,0.0,0.0002984183825723665
OP257247,MN648051.1,2022-08-01,2022,108076.0,3351,8867,12218,21,18,0,18,0.00019430770938968874,0.005371530886302597,0.0,0.005371530886302597
ON563414.3,MN648051.1,2022-05-01,2022,108076.0,3351,8867,12218,21,18,0,18,0.00019430770938968874,0.005371530886302597,0.0,0.005371530886302597
OP257243,MN648051.1,2022-08-01,2022,108076.0,3351,8867,12218,23,20,0,20,0.00021281320552204004,0.005968367651447329,0.0,0.005968367651447329
OP123044,MN648051.1,2022-07-01,2022,108076.0,3351,8867,12218,21,18,0,18,0.00019430770938968874,0.005371530886302597,0.0,0.005371530886302597
OP123045,MN648051.1,2022-07-01,2022,108076.0,3351,8867,12218,22,19,0,19,0.0002035604574558644,0.005669949268874963,0.0,0.005669949268874963
OP123041,MN648051.1,2022-07-01,2022,108076.0,3351,8867,12218,21,18,0,18,0.00019430770938968874,0.005371530886302597,0.0,0.005371530886302597
OP123040,MN648051.1,2022-07-01,2022,108076.0,3351,8867,12218,21,18,0,18,0.00019430770938968874,0.005371530886302597,0.0,0.005371530886302597
OP225968,MN648051.1,2022-06-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON649713.1,MN648051.1,2022-05-01,2022,106820.0,3310,8781,12091,22,19,0,19,0.00020595394120951133,0.005740181268882176,0.0,0.005740181268882176
ON843176,MN648051.1,2022-06-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON843174,MN648051.1,2022-05-01,2022,108016.0,3351,8867,12218,22,18,0,18,0.00020367352984743,0.005371530886302597,0.0,0.005371530886302597
ON843173,MN648051.1,2022-05-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON843172,MN648051.1,2022-05-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON694329.1,MN648051.1,2022-05-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON813267,MN648051.1,2022-06-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON813266,MN648051.1,2022-06-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON813261,MN648051.1,2022-06-01,2022,108016.0,3351,8867,12218,23,20,0,20,0.00021293141756776774,0.005968367651447329,0.0,0.005968367651447329
ON813255,MN648051.1,2022-06-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
ON813251,MN648051.1,2022-06-01,2022,106891.0,3328,8784,12112,21,18,0,18,0.00019646181624271455,0.005408653846153846,0.0,0.005408653846153846
OP215267,MN648051.1,2022-08-01,2022,108016.0,3351,8867,12218,21,18,0,18,0.00019441564212709228,0.005371530886302597,0.0,0.005371530886302597
MT903344,MN648051.1,2020-09-01,2020,108016.0,3351,8867,12218,3,2,0,2,2.7773663161013184e-5,0.000596836765144733,0.0,0.000596836765144733
MT903345,MN648051.1,2020-09-01,2020,108016.0,3351,8867,12218,3,2,0,2,2.7773663161013184e-5,0.000596836765144733,0.0,0.000596836765144733
MT903342,MN648051.1,2020-09-01,2020,108076.0,3351,8867,12218,2,1,0,1,1.8505496132351307e-5,0.0002984183825723665,0.0,0.0002984183825723665
MT903341,MN648051.1,2020-09-01,2020,99519.0,3090,8277,11367,1,0,0,0,1.0048332479225073e-5,0.0,0.0,0.0
ON676708,MN648051.1,2021-11-01,2021,108016.0,3351,8867,12218,19,16,0,16,0.00017589986668641684,0.004774694121157864,0.0,0.004774694121157864
OP498046,MN648051.1,1988-01-01,1988,106268.0,3309,8737,12046,382,29,36,65,0.003594685135694659,0.008763977032336053,0.004120407462515738,0.01288438449485179
NC_003310,MN648051.1,1996-01-01,1996,106410.0,3310,8743,12053,399,28,37,65,0.0037496475895122637,0.008459214501510574,0.004231956994166762,0.012691171495677337
NC_063383,MN648051.1,2018-08-01,2018,108076.0,3351,8867,12218,8,3,4,7,7.402198452940523e-5,0.0008952551477170994,0.0004511108604939664,0.0013463660082110658
KJ642616,MN648051.1,1968-01-01,1968,107006.0,3324,8788,12112,148,7,20,27,0.0013831000130833785,0.00210589651022864,0.002275830678197542,0.004381727188426182
JX878410,MN648051.1,2006-11-01,2006,106408.0,3310,8743,12053,369,27,35,62,0.0034677843771145026,0.008157099697885197,0.0040032025620496394,0.012160302259934835
