acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642617.1,KJ642617.1,1971-01-01,1971,104371.0,3242,8601,11843,0,0,0,0,0.0,0.0,0.0,0.0
KP849470.1,KJ642617.1,1971-01-01,1971,104372.0,3242,8602,11844,135,8,13,21,0.0012934503506687616,0.0024676125848241827,0.0015112764473378284,0.003978889032162011
JX878428.1,KJ642617.1,2007-06-01,2007,104193.0,3239,8587,11826,354,27,27,54,0.003397541101609513,0.008335906143871565,0.0031442878770234074,0.011480194020894972
MK783028.1,KJ642617.1,2017-11-01,2017,104371.0,3242,8601,11843,16,5,0,5,0.0001532992881164308,0.0015422578655151142,0.0,0.0015422578655151142
MK783030.1,KJ642617.1,2017-11-01,2017,104371.0,3242,8601,11843,20,9,0,9,0.00019162411014553852,0.0027760641579272056,0.0,0.0027760641579272056
MK783032.1,KJ642617.1,2017-11-01,2017,104371.0,3242,8601,11843,16,5,0,5,0.0001532992881164308,0.0015422578655151142,0.0,0.0015422578655151142
MK783031.1,KJ642617.1,2017-11-01,2017,104371.0,3242,8601,11843,17,6,0,6,0.00016288049362370773,0.001850709438618137,0.0,0.001850709438618137
MK783029.1,KJ642617.1,2017-12-01,2017,104371.0,3242,8601,11843,17,5,0,5,0.00016288049362370773,0.0015422578655151142,0.0,0.0015422578655151142
MT903337.1,KJ642617.1,2020-09-01,2017,104371.0,3242,8601,11843,18,6,0,6,0.00017246169913098466,0.001850709438618137,0.0,0.001850709438618137
MT903340.1,KJ642617.1,2020-09-01,2017,104371.0,3242,8601,11843,19,8,0,8,0.0001820429046382616,0.0024676125848241827,0.0,0.0024676125848241827
MN648051.1,KJ642617.1,2018-10-01,2018,103626.0,3223,8522,11745,21,9,0,9,0.0002026518441317816,0.0027924294135898233,0.0,0.0027924294135898233
MT903343.1,KJ642617.1,2020-09-01,2018,104371.0,3242,8601,11843,21,9,0,9,0.00020120531565281545,0.0027760641579272056,0.0,0.0027760641579272056
MT903342.1,KJ642617.1,2020-09-01,2018,103626.0,3223,8522,11745,21,10,0,10,0.0002026518441317816,0.003102699348433137,0.0,0.003102699348433137
OP257247,KJ642617.1,2022-08-01,2022,104371.0,3242,8601,11843,40,27,0,27,0.00038324822029107703,0.008328192473781616,0.0,0.008328192473781616
ON563414.3,KJ642617.1,2022-05-01,2022,103626.0,3223,8522,11745,40,27,0,27,0.000386003512631965,0.008377288240769469,0.0,0.008377288240769469
OP257243,KJ642617.1,2022-08-01,2022,104371.0,3242,8601,11843,42,29,0,29,0.0004024106313056309,0.008945095619987662,0.0,0.008945095619987662
OP123044,KJ642617.1,2022-07-01,2022,104371.0,3242,8601,11843,40,27,0,27,0.00038324822029107703,0.008328192473781616,0.0,0.008328192473781616
OP123045,KJ642617.1,2022-07-01,2022,104371.0,3242,8601,11843,41,28,0,28,0.00039282942579835396,0.00863664404688464,0.0,0.00863664404688464
OP123041,KJ642617.1,2022-07-01,2022,104371.0,3242,8601,11843,40,27,0,27,0.00038324822029107703,0.008328192473781616,0.0,0.008328192473781616
OP123040,KJ642617.1,2022-07-01,2022,104371.0,3242,8601,11843,40,27,0,27,0.00038324822029107703,0.008328192473781616,0.0,0.008328192473781616
OP225968,KJ642617.1,2022-06-01,2022,104371.0,3242,8601,11843,41,27,0,27,0.00039282942579835396,0.008328192473781616,0.0,0.008328192473781616
ON649713.1,KJ642617.1,2022-05-01,2022,103175.0,3201,8515,11716,43,28,0,28,0.0004167676278168161,0.008747266479225243,0.0,0.008747266479225243
