acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,MT903342,1968-01-01,1968,96015.0,2972,7892,10864,137,7,19,26,0.0014268603863979586,0.0023553162853297443,0.00240750126710593,0.004762817552435674
KJ642617,MT903342,1971-01-01,1971,103066.0,3195,8482,11677,21,0,10,10,0.00020375293501251625,0.0,0.001178967224711153,0.001178967224711153
KP849470,MT903342,1971-01-01,1971,92771.0,2859,7615,10474,135,8,18,26,0.0014551961281003762,0.0027981811822315496,0.0023637557452396585,0.005161936927471208
NC_003310,MT903342,1996-01-01,1996,96638.0,2974,7927,10901,365,27,31,58,0.0037769821395310333,0.009078681909885675,0.0039106850006307555,0.012989366910516432
JX878428,MT903342,2007-01-01,2007,95908.0,2952,7862,10814,343,24,30,54,0.003576343996329816,0.008130081300813009,0.003815822945815314,0.011945904246628322
JX878410,MT903342,2007-01-01,2007,90842.0,2791,7451,10242,315,22,28,50,0.003467559058585236,0.007882479398065209,0.0037578848476714534,0.011640364245736662
MK783028,MT903342,2017-01-01,2017,103064.0,3195,8482,11677,5,0,5,5,4.851354498175891e-5,0.0,0.0005894836123555765,0.0005894836123555765
MK783030,MT903342,2017-01-01,2017,103064.0,3195,8482,11677,9,4,5,9,8.732438096716604e-5,0.0012519561815336462,0.0005894836123555765,0.0018414397938892229
MK783032,MT903342,2017-01-01,2017,103064.0,3195,8482,11677,5,0,5,5,4.851354498175891e-5,0.0,0.0005894836123555765,0.0005894836123555765
MK783031,MT903342,2017-01-01,2017,103064.0,3195,8482,11677,6,1,5,6,5.821625397811069e-5,0.00031298904538341156,0.0005894836123555765,0.0009024726577389881
MK783029,MT903342,2017-01-01,2017,103064.0,3195,8482,11677,6,0,5,5,5.821625397811069e-5,0.0,0.0005894836123555765,0.0005894836123555765
MT903337,MT903342,2018-01-01,2018,103069.0,3195,8482,11677,7,1,5,6,6.791566814464096e-5,0.00031298904538341156,0.0005894836123555765,0.0009024726577389881
MT903340,MT903342,2018-01-01,2018,103069.0,3196,8482,11678,8,3,5,8,7.761790645101825e-5,0.0009386733416770963,0.0005894836123555765,0.0015281569540326729
MN648051,MT903342,2018-01-01,2018,103028.0,3194,8478,11672,2,0,1,1,1.9412198625616337e-5,0.0,0.00011795234725171031,0.00011795234725171031
MT903343,MT903342,2018-01-01,2018,103069.0,3196,8482,11678,1,0,1,1,9.702238306377281e-6,0.0,0.0001178967224711153,0.0001178967224711153
MT903344,MT903342,2018-01-01,2018,103069.0,3196,8482,11678,3,2,1,3,2.9106714919131845e-5,0.0006257822277847309,0.0001178967224711153,0.0007436789502558462
MT903345,MT903342,2018-01-01,2018,103069.0,3196,8482,11678,3,2,1,3,2.9106714919131845e-5,0.0006257822277847309,0.0001178967224711153,0.0007436789502558462
NC_063383,MT903342,2018-01-01,2018,103069.0,3196,8482,11678,8,3,5,8,7.761790645101825e-5,0.0009386733416770963,0.0005894836123555765,0.0015281569540326729
MT903342,MT903342,2019-01-01,2019,103069.0,3196,8482,11678,0,0,0,0,0.0,0.0,0.0,0.0
ON676708,MT903342,2021-01-01,2021,102696.0,3187,8450,11637,19,16,1,17,0.0001850120744722287,0.005020395356134295,0.00011834319526627219,0.005138738551400567
OP257247,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
ON563414,MT903342,2022-01-01,2022,103069.0,3196,8482,11678,21,18,1,19,0.0002037470044339229,0.005632040050062578,0.0001178967224711153,0.005749936772533693
OP257243,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,23,20,1,21,0.00022396198488743477,0.006275494195167869,0.00011834319526627219,0.006393837390434141
OP123044,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
OP123045,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,22,19,1,20,0.00021422450728363326,0.005961719485409476,0.00011834319526627219,0.006080062680675748
OP123041,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
OP123040,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
OP225968,MT903342,2022-01-01,2022,103069.0,3196,8482,11678,21,18,1,19,0.0002037470044339229,0.005632040050062578,0.0001178967224711153,0.005749936772533693
ON649713,MT903342,2022-01-01,2022,98520.0,3046,8134,11180,22,19,1,20,0.00022330491270807957,0.00623768877216021,0.00012294074256208508,0.006360629514722295
ON843176,MT903342,2022-01-01,2022,103069.0,3196,8482,11678,21,18,1,19,0.0002037470044339229,0.005632040050062578,0.0001178967224711153,0.005749936772533693
ON843174,MT903342,2022-01-01,2022,103069.0,3196,8482,11678,22,18,1,19,0.0002134492427403002,0.005632040050062578,0.0001178967224711153,0.005749936772533693
ON843173,MT903342,2022-01-01,2022,103069.0,3196,8482,11678,21,18,1,19,0.0002037470044339229,0.005632040050062578,0.0001178967224711153,0.005749936772533693
ON843172,MT903342,2022-01-01,2022,103069.0,3196,8482,11678,21,18,1,19,0.0002037470044339229,0.005632040050062578,0.0001178967224711153,0.005749936772533693
ON694329,MT903342,2022-01-01,2022,103069.0,3196,8482,11678,21,18,1,19,0.0002037470044339229,0.005632040050062578,0.0001178967224711153,0.005749936772533693
ON813267,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
ON813266,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
ON813261,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,23,20,1,21,0.00022396198488743477,0.006275494195167869,0.00011834319526627219,0.006393837390434141
ON813255,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
ON813251,MT903342,2022-01-01,2022,102194.0,3179,8412,11591,21,18,1,19,0.00020549151613597668,0.005662157911292859,0.00011887779362815027,0.005781035704921009
OP215267,MT903342,2022-01-01,2022,102696.0,3187,8450,11637,21,18,1,19,0.00020448702967983175,0.005647944775651083,0.00011834319526627219,0.0057662879709173545
