acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,KJ642616,1968-01-01,1968,100899.0,3133,8277,11410,0,0,0,0,0.0,0.0,0.0,0.0
KJ642617,KJ642616,1971-01-01,1971,94592.0,2964,7737,10701,121,10,6,16,0.001279177943166441,0.0033738191632928477,0.0007754943776657619,0.0041493135409586095
KP849470,KJ642616,1971-01-01,1971,97860.0,3030,8022,11052,44,1,2,3,0.00044962190884937665,0.00033003300330033004,0.0002493143854400399,0.00057934738874037
NC_003310,KJ642616,1996-01-01,1996,98835.0,3075,8123,11198,343,27,26,53,0.003470430515505641,0.00878048780487805,0.003200787886248923,0.011981275691126973
JX878428,KJ642616,2007-01-01,2007,98276.0,3056,8071,11127,320,24,24,48,0.003256135780862062,0.007853403141361256,0.0029736092181885765,0.010827012359549833
JX878410,KJ642616,2007-01-01,2007,94173.0,2918,7738,10656,296,22,23,45,0.003143151434062842,0.0075394105551747775,0.0029723442750064616,0.01051175483018124
MK783028,KJ642616,2017-01-01,2017,94261.0,2952,7704,10656,131,14,6,20,0.001389758224504302,0.0047425474254742545,0.000778816199376947,0.005521363624851202
MK783030,KJ642616,2017-01-01,2017,94261.0,2952,7704,10656,134,17,6,23,0.0014215847487295912,0.005758807588075881,0.000778816199376947,0.006537623787452828
MK783032,KJ642616,2017-01-01,2017,94261.0,2952,7704,10656,131,14,6,20,0.001389758224504302,0.0047425474254742545,0.000778816199376947,0.005521363624851202
MK783031,KJ642616,2017-01-01,2017,94261.0,2952,7704,10656,132,15,6,21,0.0014003670659127317,0.00508130081300813,0.000778816199376947,0.005860117012385077
MK783029,KJ642616,2017-01-01,2017,94261.0,2952,7704,10656,132,14,6,20,0.0014003670659127317,0.0047425474254742545,0.000778816199376947,0.005521363624851202
MT903337,KJ642616,2018-01-01,2018,94264.0,2952,7705,10657,133,15,6,21,0.0014109310022914368,0.00508130081300813,0.0007787151200519143,0.005860015933060044
MT903340,KJ642616,2018-01-01,2018,93965.0,2944,7676,10620,134,17,6,23,0.0014260628957590592,0.00577445652173913,0.000781657113079729,0.0065561136348188595
MN648051,KJ642616,2018-01-01,2018,94373.0,2955,7710,10665,134,17,6,23,0.001419897640214892,0.005752961082910322,0.0007782101167315176,0.006531171199641839
MT903343,KJ642616,2018-01-01,2018,93971.0,2944,7679,10623,134,17,6,23,0.0014259718423769035,0.00577445652173913,0.0007813517385076181,0.006555808260246748
MT903344,KJ642616,2018-01-01,2018,94668.0,2966,7744,10710,136,18,7,25,0.0014365994845143026,0.006068779501011463,0.0009039256198347108,0.006972705120846174
MT903345,KJ642616,2018-01-01,2018,94120.0,2948,7701,10649,135,18,6,24,0.001434339141521462,0.006105834464043419,0.0007791195948578107,0.00688495405890123
NC_063383,KJ642616,2018-01-01,2018,93965.0,2944,7676,10620,134,17,6,23,0.0014260628957590592,0.00577445652173913,0.000781657113079729,0.0065561136348188595
MT903342,KJ642616,2019-01-01,2019,93985.0,2944,7680,10624,134,17,6,23,0.0014257594296962282,0.00577445652173913,0.00078125,0.00655570652173913
ON676708,KJ642616,2021-01-01,2021,94137.0,2955,7696,10651,150,31,7,38,0.0015934223525287613,0.010490693739424704,0.0009095634095634096,0.011400257148988114
OP257247,KJ642616,2022-01-01,2022,93952.0,2949,7679,10628,153,34,7,41,0.001628491144414169,0.011529331976941335,0.0009115770282588879,0.012440909005200224
ON563414,KJ642616,2022-01-01,2022,93987.0,2944,7680,10624,153,34,6,40,0.0016278847074595424,0.01154891304347826,0.00078125,0.01233016304347826
OP257243,KJ642616,2022-01-01,2022,93588.0,2935,7643,10578,153,35,6,41,0.0016348249775612258,0.01192504258943782,0.0007850320554755986,0.012710074644913418
OP123044,KJ642616,2022-01-01,2022,93952.0,2949,7679,10628,153,34,7,41,0.001628491144414169,0.011529331976941335,0.0009115770282588879,0.012440909005200224
OP123045,KJ642616,2022-01-01,2022,93952.0,2949,7679,10628,153,34,7,41,0.001628491144414169,0.011529331976941335,0.0009115770282588879,0.012440909005200224
OP123041,KJ642616,2022-01-01,2022,93588.0,2935,7643,10578,152,34,6,40,0.0016241398469889303,0.011584327086882453,0.0007850320554755986,0.01236935914235805
OP123040,KJ642616,2022-01-01,2022,93588.0,2935,7642,10577,152,34,6,40,0.0016241398469889303,0.011584327086882453,0.0007851347814708192,0.012369461868353271
OP225968,KJ642616,2022-01-01,2022,94376.0,2958,7715,10673,154,34,7,41,0.0016317707891836907,0.011494252873563218,0.0009073233959818536,0.012401576269545071
ON649713,KJ642616,2022-01-01,2022,88701.0,2774,7259,10033,145,35,4,39,0.0016347053584514267,0.012617159336697908,0.0005510400881664141,0.013168199424864323
ON843176,KJ642616,2022-01-01,2022,94345.0,2958,7714,10672,154,34,7,41,0.0016323069585033653,0.011494252873563218,0.0009074410163339383,0.012401693889897156
ON843174,KJ642616,2022-01-01,2022,93973.0,2944,7678,10622,154,34,6,40,0.0016387685824651762,0.01154891304347826,0.0007814535035165407,0.0123303665469948
ON843173,KJ642616,2022-01-01,2022,93973.0,2944,7678,10622,153,34,6,40,0.001628127228033584,0.01154891304347826,0.0007814535035165407,0.0123303665469948
ON843172,KJ642616,2022-01-01,2022,93973.0,2944,7678,10622,153,34,6,40,0.001628127228033584,0.01154891304347826,0.0007814535035165407,0.0123303665469948
ON694329,KJ642616,2022-01-01,2022,94126.0,2949,7694,10643,153,34,6,40,0.0016254807385844507,0.011529331976941335,0.0007798284377436964,0.012309160414685032
ON813267,KJ642616,2022-01-01,2022,93952.0,2949,7679,10628,153,34,7,41,0.001628491144414169,0.011529331976941335,0.0009115770282588879,0.012440909005200224
ON813266,KJ642616,2022-01-01,2022,93952.0,2949,7679,10628,153,34,7,41,0.001628491144414169,0.011529331976941335,0.0009115770282588879,0.012440909005200224
ON813261,KJ642616,2022-01-01,2022,93952.0,2949,7679,10628,155,36,7,43,0.0016497786103542235,0.012207527975584944,0.0009115770282588879,0.013119105003843832
ON813255,KJ642616,2022-01-01,2022,93952.0,2949,7679,10628,153,34,7,41,0.001628491144414169,0.011529331976941335,0.0009115770282588879,0.012440909005200224
