acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642617.1,MT903342.1,1971-01-01,1971,106212.0,3298,8755,12053,21,0,10,10,0.0001977177720031635,0.0,0.001142204454597373,0.001142204454597373
KP849470.1,MT903342.1,1971-01-01,1971,105869.0,3288,8729,12017,149,8,23,31,0.0014073997109635493,0.0024330900243309003,0.0026348951769962197,0.0050679852013271205
JX878428.1,MT903342.1,2007-06-01,2007,105458.0,3284,8691,11975,371,27,34,61,0.003517988203834702,0.008221680876979293,0.00391209296973881,0.012133773846718102
MK783028.1,MT903342.1,2017-11-01,2017,106210.0,3298,8755,12053,5,0,5,5,4.707654646455136e-5,0.0,0.0005711022272986865,0.0005711022272986865
MK783030.1,MT903342.1,2017-11-01,2017,106210.0,3298,8755,12053,9,4,5,9,8.473778363619245e-5,0.001212856276531231,0.0005711022272986865,0.0017839585038299174
MK783032.1,MT903342.1,2017-11-01,2017,106210.0,3298,8755,12053,5,0,5,5,4.707654646455136e-5,0.0,0.0005711022272986865,0.0005711022272986865
MK783031.1,MT903342.1,2017-11-01,2017,106210.0,3298,8755,12053,6,1,5,6,5.649185575746163e-5,0.00030321406913280777,0.0005711022272986865,0.0008743162964314942
MK783029.1,MT903342.1,2017-12-01,2017,106210.0,3298,8755,12053,6,0,5,5,5.649185575746163e-5,0.0,0.0005711022272986865,0.0005711022272986865
MT903337.1,MT903342.1,2020-09-01,2020,106210.0,3298,8755,12053,7,1,5,6,6.59071650503719e-5,0.00030321406913280777,0.0005711022272986865,0.0008743162964314942
MT903340.1,MT903342.1,2020-09-01,2020,106210.0,3298,8755,12053,8,3,5,8,7.532247434328218e-5,0.0009096422073984233,0.0005711022272986865,0.0014807444346971099
MN648051.1,MT903342.1,2018-10-01,2018,106210.0,3298,8755,12053,2,0,1,1,1.8830618585820544e-5,0.0,0.0001142204454597373,0.0001142204454597373
MT903343.1,MT903342.1,2020-09-01,2020,106210.0,3298,8755,12053,1,0,1,1,9.415309292910272e-6,0.0,0.0001142204454597373,0.0001142204454597373
