acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,JX878410,1968-01-01,1968,94809.0,2872,7732,10604,305,23,25,48,0.0032169941672204115,0.008008356545961003,0.0032333160889808587,0.011241672634941862
KJ642617,JX878410,1971-01-01,1971,88518.0,2700,7170,9870,298,20,22,42,0.0033665469170112293,0.007407407407407408,0.0030683403068340305,0.010475747714241437
KP849470,JX878410,1971-01-01,1971,96851.0,2945,7920,10865,322,24,28,52,0.003324694634025462,0.008149405772495755,0.0035353535353535356,0.01168475930784929
NC_003310,JX878410,1996-01-01,1996,96427.0,2939,7873,10812,40,1,2,3,0.000414821574870109,0.0003402517863218782,0.00025403277022735933,0.0005942845565492375
JX878428,JX878410,2007-01-01,2007,97196.0,2967,7947,10914,4,0,0,0,4.115395695296103e-5,0.0,0.0,0.0
JX878410,JX878410,2007-01-01,2007,99401.0,3040,8140,11180,0,0,0,0,0.0,0.0,0.0,0.0
MK783028,JX878410,2017-01-01,2017,88186.0,2688,7136,9824,302,21,22,43,0.003424579865284739,0.0078125,0.003082959641255605,0.010895459641255606
MK783030,JX878410,2017-01-01,2017,88186.0,2688,7136,9824,302,21,22,43,0.003424579865284739,0.0078125,0.003082959641255605,0.010895459641255606
MK783032,JX878410,2017-01-01,2017,88186.0,2688,7136,9824,302,21,22,43,0.003424579865284739,0.0078125,0.003082959641255605,0.010895459641255606
MK783031,JX878410,2017-01-01,2017,88186.0,2688,7136,9824,303,22,22,44,0.0034359195337128343,0.00818452380952381,0.003082959641255605,0.011267483450779416
MK783029,JX878410,2017-01-01,2017,88186.0,2688,7136,9824,303,21,22,43,0.0034359195337128343,0.0078125,0.003082959641255605,0.010895459641255606
MT903337,JX878410,2018-01-01,2018,88189.0,2688,7137,9825,304,22,22,44,0.0034471419338012676,0.00818452380952381,0.003082527672691607,0.011267051482215417
MT903340,JX878410,2018-01-01,2018,87888.0,2680,7108,9788,305,24,22,46,0.003470325869288185,0.008955223880597015,0.0030951041080472708,0.012050327988644286
MN648051,JX878410,2018-01-01,2018,88298.0,2691,7142,9833,306,24,22,46,0.0034655371582595304,0.008918617614269788,0.003080369644357323,0.011998987258627112
MT903343,JX878410,2018-01-01,2018,87894.0,2680,7111,9791,305,24,22,46,0.003470088970805743,0.008955223880597015,0.003093798340599072,0.012049022221196087
MT903344,JX878410,2018-01-01,2018,88592.0,2704,7175,9879,309,26,23,49,0.003487899584612606,0.009615384615384616,0.003205574912891986,0.012820959528276603
MT903345,JX878410,2018-01-01,2018,88050.0,2684,7134,9818,306,25,22,47,0.003475298126064736,0.009314456035767511,0.0030838239416876925,0.012398279977455203
NC_063383,JX878410,2018-01-01,2018,87888.0,2680,7108,9788,305,24,22,46,0.003470325869288185,0.008955223880597015,0.0030951041080472708,0.012050327988644286
MT903342,JX878410,2019-01-01,2019,87908.0,2680,7112,9792,305,24,22,46,0.003469536333439505,0.008955223880597015,0.003093363329583802,0.012048587210180817
ON676708,JX878410,2021-01-01,2021,88058.0,2693,7127,9820,319,35,23,58,0.0036226123691203527,0.012996658002227999,0.0032271643047565596,0.016223822306984558
OP257247,JX878410,2022-01-01,2022,87875.0,2686,7110,9796,320,36,23,59,0.0036415362731152204,0.01340282948622487,0.0032348804500703233,0.01663770993629519
ON563414,JX878410,2022-01-01,2022,87910.0,2680,7112,9792,317,35,22,57,0.003605960641565237,0.013059701492537313,0.003093363329583802,0.016153064822121116
OP257243,JX878410,2022-01-01,2022,87511.0,2671,7075,9746,318,36,22,58,0.0036338288900823897,0.013478098090602771,0.003109540636042403,0.016587638726645173
OP123044,JX878410,2022-01-01,2022,87875.0,2686,7110,9796,320,36,23,59,0.0036415362731152204,0.01340282948622487,0.0032348804500703233,0.01663770993629519
OP123045,JX878410,2022-01-01,2022,87875.0,2686,7110,9796,320,36,23,59,0.0036415362731152204,0.01340282948622487,0.0032348804500703233,0.01663770993629519
OP123041,JX878410,2022-01-01,2022,87511.0,2671,7075,9746,317,35,22,57,0.0036224017552079165,0.013103706476974916,0.003109540636042403,0.016213247113017318
OP123040,JX878410,2022-01-01,2022,87511.0,2671,7074,9745,317,35,22,57,0.0036224017552079165,0.013103706476974916,0.0031099802092168505,0.016213686686191768
OP225968,JX878410,2022-01-01,2022,88299.0,2695,7146,9841,320,36,23,59,0.003624050102492667,0.013358070500927645,0.0032185838231178284,0.016576654324045474
ON649713,JX878410,2022-01-01,2022,82622.0,2509,6689,9198,303,36,21,57,0.0036673041078647333,0.01434834595456357,0.0031394827328449695,0.01748782868740854
ON843176,JX878410,2022-01-01,2022,88268.0,2695,7145,9840,320,36,23,59,0.0036253228803190284,0.013358070500927645,0.003219034289713086,0.01657710479064073
ON843174,JX878410,2022-01-01,2022,87896.0,2680,7110,9790,318,35,22,57,0.0036179120779102577,0.013059701492537313,0.0030942334739803095,0.01615393496651762
ON843173,JX878410,2022-01-01,2022,87896.0,2680,7110,9790,317,35,22,57,0.0036065349959042503,0.013059701492537313,0.0030942334739803095,0.01615393496651762
ON843172,JX878410,2022-01-01,2022,87896.0,2680,7110,9790,317,35,22,57,0.0036065349959042503,0.013059701492537313,0.0030942334739803095,0.01615393496651762
ON694329,JX878410,2022-01-01,2022,88049.0,2685,7126,9811,317,35,22,57,0.003600268032572772,0.01303538175046555,0.0030872859949480774,0.016122667745413627
ON813267,JX878410,2022-01-01,2022,87875.0,2686,7110,9796,320,36,23,59,0.0036415362731152204,0.01340282948622487,0.0032348804500703233,0.01663770993629519
ON813266,JX878410,2022-01-01,2022,87875.0,2686,7110,9796,320,36,23,59,0.0036415362731152204,0.01340282948622487,0.0032348804500703233,0.01663770993629519
