Accession,Date
OP764629.1,2022-11-03
OP764628.1,2022-11-03
OP536745.2,2022-11-08
OP536742.2,2022-11-08
OP536740.2,2022-11-08
OP536738.2,2022-11-08
OP536737.2,2022-11-08
OP536732.2,2022-11-08
OP536731.2,2022-11-08
OP536718.2,2022-11-08
OP536713.2,2022-11-08
OP536712.2,2022-11-08
OP536711.2,2022-11-08
OP536709.2,2022-11-08
OP536704.2,2022-11-08
OP536702.2,2022-11-08
OP536697.2,2022-11-08
OP536688.2,2022-11-08
OP536686.2,2022-11-08
OP743993.1,2022-11-09
OP743992.1,2022-11-09
OP743991.1,2022-11-09
OP743990.1,2022-11-09
OP743989.1,2022-11-09
OP743988.1,2022-11-09
OP743987.1,2022-11-09
OP743986.1,2022-11-09
OP743985.1,2022-11-09
OP743984.1,2022-11-09
OP743983.1,2022-11-09
OP743982.1,2022-11-09
OP743981.1,2022-11-09
OP743980.1,2022-11-09
OP743979.1,2022-11-09
OP743978.1,2022-11-09
OP743976.1,2022-11-09
OP743975.1,2022-11-09
OP743974.1,2022-11-09
OP743973.1,2022-11-09
OP743972.1,2022-11-09
OP743971.1,2022-11-09
OP743970.1,2022-11-09
OP743969.1,2022-11-09
OP743968.1,2022-11-09
OP743967.1,2022-11-09
OP743966.1,2022-11-09
OP743965.1,2022-11-09
OP743964.1,2022-11-09
OP743962.1,2022-11-09
OP743961.1,2022-11-09
OP743960.1,2022-11-09
OP743959.1,2022-11-09
OP743958.1,2022-11-09
OP743957.1,2022-11-09
OP743956.1,2022-11-09
OP743955.1,2022-11-09
OP743954.1,2022-11-09
OP743953.1,2022-11-09
OP743952.1,2022-11-09
OP743951.1,2022-11-09
OP715789.1,2022-11-09
OP715788.1,2022-11-09
OP434519.1,2022-11-09
OP392553.1,2022-11-09
OP392552.1,2022-11-09
OP392551.1,2022-11-09
OP392549.1,2022-11-09
OP392548.1,2022-11-09
OP392547.1,2022-11-09
OP392546.1,2022-11-09
OP392545.1,2022-11-09
OP392544.1,2022-11-09
OP392543.1,2022-11-09
OP392542.1,2022-11-09
OP392541.1,2022-11-09
OP392540.1,2022-11-09
OP392539.1,2022-11-09
OP392538.1,2022-11-09
OP392536.1,2022-11-09
OP392535.1,2022-11-09
OP392534.1,2022-11-09
OP392533.1,2022-11-09
OP392532.1,2022-11-09
OP392531.1,2022-11-09
OP820456.1,2022-11-14
OP820455.1,2022-11-14
OP820454.1,2022-11-14
OP604533.1,2022-11-14
OP604532.1,2022-11-14
OP604531.1,2022-11-14
OP604530.1,2022-11-14
OP604529.1,2022-11-14
OP604528.1,2022-11-14
OP604527.1,2022-11-14
OP604526.1,2022-11-14
OP604525.1,2022-11-14
OP604524.1,2022-11-14
OP604523.1,2022-11-14
OP604522.1,2022-11-14
OP604521.1,2022-11-14
OP604520.1,2022-11-14
OP604519.1,2022-11-14
OP837354.1,2022-11-16
OP837353.1,2022-11-16
OP837352.1,2022-11-16
OP837351.1,2022-11-16
OP837350.1,2022-11-16
OP837349.1,2022-11-16
OP837347.1,2022-11-16
OP837346.1,2022-11-16
OP837345.1,2022-11-16
OP837344.1,2022-11-16
OP837343.1,2022-11-16
OP837342.1,2022-11-16
OP837341.1,2022-11-16
OP837340.1,2022-11-16
OP837339.1,2022-11-16
OP837338.1,2022-11-16
OP837337.1,2022-11-16
OP837336.1,2022-11-16
OP837335.1,2022-11-16
OP837334.1,2022-11-16
NC_063383.1,2022-11-18
NC_003310.1,2022-11-18
OP879723.1,2022-11-22
OP879722.1,2022-11-22
OP881956.1,2022-11-23
OP881955.1,2022-11-23
OP881954.1,2022-11-23
OP881953.1,2022-11-23
OP881952.1,2022-11-23
OP881951.1,2022-11-23
OP881950.1,2022-11-23
OP881949.1,2022-11-23
OP881948.1,2022-11-23
OP881947.1,2022-11-23
OP881946.1,2022-11-23
OP881945.1,2022-11-23
OP881944.1,2022-11-23
OP881943.1,2022-11-23
OP881942.1,2022-11-23
OP881941.1,2022-11-23
OQ054247.1,2022-12-15
OQ054246.1,2022-12-15
OQ054245.1,2022-12-15
OQ054244.1,2022-12-15
OQ054243.1,2022-12-15
OQ054242.1,2022-12-15
OQ054241.1,2022-12-15
OQ054240.1,2022-12-15
OQ054239.1,2022-12-15
OQ054238.1,2022-12-15
OQ054237.1,2022-12-15
OQ054236.1,2022-12-15
OQ054235.1,2022-12-15
OQ054234.1,2022-12-15
OQ054233.1,2022-12-15
OQ054232.1,2022-12-15
OQ054231.1,2022-12-15
OQ054230.1,2022-12-15
OQ054229.1,2022-12-15
OQ054228.1,2022-12-15
OQ054227.1,2022-12-15
OQ054226.1,2022-12-15
OQ054225.1,2022-12-15
OQ054224.1,2022-12-15
OQ054223.1,2022-12-15
OQ054222.1,2022-12-15
OQ054221.1,2022-12-15
OQ054220.1,2022-12-15
OQ054219.1,2022-12-15
OQ054218.1,2022-12-15
OQ099609.1,2022-12-21
OQ099608.1,2022-12-21
OQ099607.1,2022-12-21
OQ099606.1,2022-12-21
OQ099605.1,2022-12-21
OQ099604.1,2022-12-21
OP535341.1,2022-12-25
OP535340.1,2022-12-25
OP535337.1,2022-12-25
OP535336.1,2022-12-25
OP535335.1,2022-12-25
