acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,KJ642617,1968-01-01,1968,103437.0,3216,8527,11743,130,7,11,18,0.0012568036582654176,0.0021766169154228856,0.0012900199366717485,0.003466636852094634
KJ642617,KJ642617,1971-01-01,1971,104371.0,3242,8601,11843,0,0,0,0,0.0,0.0,0.0,0.0
KP849470,KJ642617,1971-01-01,1971,101669.0,3160,8379,11539,132,8,12,20,0.0012983308579803086,0.002531645569620253,0.0014321518080916578,0.003963797377711911
NC_003310,KJ642617,1996-01-01,1996,102964.0,3196,8492,11688,369,28,26,54,0.003583776854046074,0.008760951188986232,0.0030617051342439945,0.011822656323230226
JX878428,KJ642617,2007-01-01,2007,102403.0,3180,8438,11618,349,26,27,53,0.003408103278224271,0.008176100628930818,0.003199810381607016,0.011375911010537833
JX878410,KJ642617,2007-01-01,2007,100888.0,3145,8316,11461,338,26,26,52,0.0033502497819364045,0.008267090620031796,0.0031265031265031266,0.011393593746534923
MK783028,KJ642617,2017-01-01,2017,104371.0,3242,8601,11843,16,5,0,5,0.0001532992881164308,0.0015422578655151142,0.0,0.0015422578655151142
MK783030,KJ642617,2017-01-01,2017,104371.0,3242,8601,11843,20,9,0,9,0.00019162411014553852,0.0027760641579272056,0.0,0.0027760641579272056
MK783032,KJ642617,2017-01-01,2017,104371.0,3242,8601,11843,16,5,0,5,0.0001532992881164308,0.0015422578655151142,0.0,0.0015422578655151142
MK783031,KJ642617,2017-01-01,2017,104371.0,3242,8601,11843,17,6,0,6,0.00016288049362370773,0.001850709438618137,0.0,0.001850709438618137
MK783029,KJ642617,2017-01-01,2017,104371.0,3242,8601,11843,17,5,0,5,0.00016288049362370773,0.0015422578655151142,0.0,0.0015422578655151142
MT903337,KJ642617,2018-01-01,2018,104371.0,3242,8601,11843,18,6,0,6,0.00017246169913098466,0.001850709438618137,0.0,0.001850709438618137
MT903340,KJ642617,2018-01-01,2018,104086.0,3236,8579,11815,19,8,0,8,0.00018254136002920663,0.002472187886279357,0.0,0.002472187886279357
MN648051,KJ642617,2018-01-01,2018,103604.0,3223,8516,11739,21,9,0,9,0.00020269487664568934,0.0027924294135898233,0.0,0.0027924294135898233
MT903343,KJ642617,2018-01-01,2018,104086.0,3236,8579,11815,21,9,0,9,0.000201756240032281,0.002781211372064277,0.0,0.002781211372064277
MT903344,KJ642617,2018-01-01,2018,104086.0,3236,8579,11815,24,11,0,11,0.00023057856003689257,0.003399258343634116,0.0,0.003399258343634116
MT903345,KJ642617,2018-01-01,2018,104371.0,3242,8601,11843,23,11,0,11,0.00022036772666736928,0.003392967304133251,0.0,0.003392967304133251
NC_063383,KJ642617,2018-01-01,2018,104086.0,3236,8579,11815,19,8,0,8,0.00018254136002920663,0.002472187886279357,0.0,0.002472187886279357
MT903342,KJ642617,2019-01-01,2019,103626.0,3223,8522,11745,21,10,0,10,0.0002026518441317816,0.003102699348433137,0.0,0.003102699348433137
ON676708,KJ642617,2021-01-01,2021,104086.0,3236,8579,11815,40,25,0,25,0.0003842976000614876,0.0077255871446229914,0.0,0.0077255871446229914
OP257247,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,40,27,0,27,0.0003842976000614876,0.00834363411619283,0.0,0.00834363411619283
ON563414,KJ642617,2022-01-01,2022,103626.0,3223,8522,11745,40,27,0,27,0.000386003512631965,0.008377288240769469,0.0,0.008377288240769469
OP257243,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,42,29,0,29,0.000403512480064562,0.00896168108776267,0.0,0.00896168108776267
OP123044,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,40,27,0,27,0.0003842976000614876,0.00834363411619283,0.0,0.00834363411619283
OP123045,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,41,28,0,28,0.0003939050400630248,0.00865265760197775,0.0,0.00865265760197775
OP123041,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,40,27,0,27,0.0003842976000614876,0.00834363411619283,0.0,0.00834363411619283
OP123040,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,40,27,0,27,0.0003842976000614876,0.00834363411619283,0.0,0.00834363411619283
OP225968,KJ642617,2022-01-01,2022,104371.0,3242,8601,11843,41,27,0,27,0.00039282942579835396,0.008328192473781616,0.0,0.008328192473781616
ON649713,KJ642617,2022-01-01,2022,102006.0,3165,8422,11587,42,28,0,28,0.0004117404858537733,0.008846761453396525,0.0,0.008846761453396525
ON843176,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,42,27,0,27,0.000403512480064562,0.00834363411619283,0.0,0.00834363411619283
ON843174,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,43,27,0,27,0.0004131199200660992,0.00834363411619283,0.0,0.00834363411619283
ON843173,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,42,27,0,27,0.000403512480064562,0.00834363411619283,0.0,0.00834363411619283
ON843172,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,42,27,0,27,0.000403512480064562,0.00834363411619283,0.0,0.00834363411619283
ON694329,KJ642617,2022-01-01,2022,104371.0,3242,8601,11843,42,27,0,27,0.0004024106313056309,0.008328192473781616,0.0,0.008328192473781616
ON813267,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,41,27,0,27,0.0003939050400630248,0.00834363411619283,0.0,0.00834363411619283
ON813266,KJ642617,2022-01-01,2022,103341.0,3217,8500,11717,40,27,0,27,0.00038706805624098855,0.0083929126515387,0.0,0.0083929126515387
ON813261,KJ642617,2022-01-01,2022,103341.0,3217,8500,11717,42,29,0,29,0.000406421459053038,0.009014609884986011,0.0,0.009014609884986011
ON813255,KJ642617,2022-01-01,2022,103341.0,3217,8500,11717,40,27,0,27,0.00038706805624098855,0.0083929126515387,0.0,0.0083929126515387
ON813251,KJ642617,2022-01-01,2022,102843.0,3209,8461,11670,39,26,0,26,0.0003792188092529389,0.008102212527267061,0.0,0.008102212527267061
OP215267,KJ642617,2022-01-01,2022,104086.0,3236,8579,11815,42,27,0,27,0.000403512480064562,0.00834363411619283,0.0,0.00834363411619283
