acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,OP123040,1968-01-01,1968,96001.0,2962,7903,10865,154,7,34,41,0.0016041499567712835,0.002363268062120189,0.004302163735290396,0.006665431797410585
KJ642617,OP123040,1971-01-01,1971,103052.0,3183,8495,11678,40,0,27,27,0.0003881535535457827,0.0,0.0031783402001177162,0.0031783402001177162
KP849470,OP123040,1971-01-01,1971,92757.0,2849,7626,10475,152,8,33,41,0.0016386903414297572,0.002808002808002808,0.004327301337529505,0.007135304145532312
NC_003310,OP123040,1996-01-01,1996,96624.0,2964,7938,10902,377,27,42,69,0.0039017221394270574,0.009109311740890687,0.005291005291005291,0.014400317031895978
JX878428,OP123040,2007-01-01,2007,95894.0,2942,7873,10815,355,24,41,65,0.00370200429641062,0.008157715839564922,0.005207671789660866,0.013365387629225789
JX878410,OP123040,2007-01-01,2007,90828.0,2781,7462,10243,327,22,39,61,0.0036002113885585945,0.007910823444804028,0.005226480836236934,0.013137304281040962
MK783028,OP123040,2017-01-01,2017,103050.0,3183,8495,11678,24,0,22,22,0.0002328966521106259,0.0,0.0025897586815773984,0.0025897586815773984
MK783030,OP123040,2017-01-01,2017,103050.0,3183,8495,11678,28,4,22,26,0.00027171276079573025,0.0012566760917373547,0.0025897586815773984,0.003846434773314753
MK783032,OP123040,2017-01-01,2017,103050.0,3183,8495,11678,24,0,22,22,0.0002328966521106259,0.0,0.0025897586815773984,0.0025897586815773984
MK783031,OP123040,2017-01-01,2017,103050.0,3183,8495,11678,25,1,22,23,0.00024260067928190198,0.00031416902293433867,0.0025897586815773984,0.002903927704511737
MK783029,OP123040,2017-01-01,2017,103050.0,3183,8495,11678,25,0,22,22,0.00024260067928190198,0.0,0.0025897586815773984,0.0025897586815773984
MT903337,OP123040,2018-01-01,2018,103055.0,3183,8495,11678,26,1,22,23,0.00025229246518849156,0.00031416902293433867,0.0025897586815773984,0.002903927704511737
MT903340,OP123040,2018-01-01,2018,103055.0,3184,8495,11679,27,3,22,25,0.00026199602154189513,0.0009422110552763819,0.0025897586815773984,0.0035319697368537805
MN648051,OP123040,2018-01-01,2018,103014.0,3182,8491,11673,21,0,18,18,0.0002038557865921137,0.0,0.002119891649982334,0.002119891649982334
MT903343,OP123040,2018-01-01,2018,103055.0,3184,8495,11679,20,0,18,18,0.00019407112706807045,0.0,0.002118893466745144,0.002118893466745144
MT903344,OP123040,2018-01-01,2018,103055.0,3184,8495,11679,18,0,16,16,0.0001746640143612634,0.0,0.001883460859329017,0.001883460859329017
MT903345,OP123040,2018-01-01,2018,103055.0,3184,8495,11679,18,0,16,16,0.0001746640143612634,0.0,0.001883460859329017,0.001883460859329017
NC_063383,OP123040,2018-01-01,2018,103055.0,3184,8495,11679,27,3,22,25,0.00026199602154189513,0.0009422110552763819,0.0025897586815773984,0.0035319697368537805
MT903342,OP123040,2019-01-01,2019,103055.0,3184,8495,11679,21,1,18,19,0.00020377468342147397,0.000314070351758794,0.002118893466745144,0.002432963818503938
ON676708,OP123040,2021-01-01,2021,103055.0,3184,8495,11679,6,1,3,4,5.822133812042114e-5,0.000314070351758794,0.0003531489111241907,0.0006672192628829846
OP257247,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
ON563414,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
OP257243,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,2,2,0,2,1.9407112706807045e-5,0.000628140703517588,0.0,0.000628140703517588
OP123044,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
OP123045,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,1,1,0,1,9.703556353403522e-6,0.000314070351758794,0.0,0.000314070351758794
OP123041,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
OP123040,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
OP225968,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
ON649713,OP123040,2022-01-01,2022,98879.0,3043,8179,11222,1,1,0,1,1.0113370887650562e-5,0.00032862306933946765,0.0,0.00032862306933946765
ON843176,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
ON843174,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,1,0,0,0,9.703556353403522e-6,0.0,0.0,0.0
ON843173,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
ON843172,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
ON694329,OP123040,2022-01-01,2022,103055.0,3184,8495,11679,0,0,0,0,0.0,0.0,0.0,0.0
