acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,KP849470,1968-01-01,1968,97701.0,3033,8014,11047,44,2,1,3,0.0004503536299526105,0.0006594131223211342,0.00012478163214374845,0.0007841947544648827
KJ642617,KP849470,1971-01-01,1971,90984.0,2850,7434,10284,122,11,7,18,0.0013408951024355931,0.0038596491228070177,0.0009416195856873823,0.0048012687084944
KP849470,KP849470,1971-01-01,1971,99506.0,3099,8181,11280,0,0,0,0,0.0,0.0,0.0,0.0
NC_003310,KP849470,1996-01-01,1996,97039.0,3030,7977,11007,346,27,27,54,0.0035655767268830056,0.00891089108910891,0.003384731101918014,0.012295622191026924
JX878428,KP849470,2007-01-01,2007,97385.0,3044,8013,11057,327,27,25,52,0.0033578066437336346,0.008869908015768726,0.003119930113565456,0.011989838129334181
JX878410,KP849470,2007-01-01,2007,94942.0,2951,7826,10777,313,26,24,50,0.003296749594489267,0.00881057268722467,0.003066700741119346,0.011877273428344017
MK783028,KP849470,2017-01-01,2017,90652.0,2838,7400,10238,130,14,7,21,0.0014340555089793936,0.004933051444679351,0.0009459459459459459,0.005878997390625297
MK783030,KP849470,2017-01-01,2017,90652.0,2838,7400,10238,132,16,7,23,0.0014561179014252305,0.005637773079633545,0.0009459459459459459,0.006583719025579491
MK783032,KP849470,2017-01-01,2017,90652.0,2838,7400,10238,129,14,7,21,0.0014230243127564754,0.004933051444679351,0.0009459459459459459,0.005878997390625297
MK783031,KP849470,2017-01-01,2017,90652.0,2838,7400,10238,131,15,7,22,0.001445086705202312,0.005285412262156448,0.0009459459459459459,0.006231358208102394
MK783029,KP849470,2017-01-01,2017,90652.0,2838,7400,10238,131,14,7,21,0.001445086705202312,0.004933051444679351,0.0009459459459459459,0.005878997390625297
MT903337,KP849470,2018-01-01,2018,90655.0,2838,7401,10239,132,15,7,22,0.0014560697148530142,0.005285412262156448,0.0009458181326847723,0.00623123039484122
MT903340,KP849470,2018-01-01,2018,90354.0,2830,7372,10202,132,16,7,23,0.0014609203798392988,0.005653710247349823,0.0009495387954422138,0.006603249042792037
MN648051,KP849470,2018-01-01,2018,90764.0,2841,7406,10247,133,17,7,24,0.0014653386805341326,0.00598380851812742,0.000945179584120983,0.006928988102248403
MT903343,KP849470,2018-01-01,2018,90360.0,2830,7375,10205,133,17,7,24,0.0014718902169101372,0.006007067137809187,0.0009491525423728814,0.006956219680182068
MT903344,KP849470,2018-01-01,2018,91055.0,2853,7441,10294,135,18,8,26,0.0014826203942672012,0.006309148264984227,0.0010751243112484881,0.007384272576232715
MT903345,KP849470,2018-01-01,2018,90509.0,2834,7397,10231,134,18,7,25,0.0014805157498149356,0.006351446718419196,0.000946329593078275,0.007297776311497471
NC_063383,KP849470,2018-01-01,2018,90354.0,2830,7372,10202,132,16,7,23,0.0014609203798392988,0.005653710247349823,0.0009495387954422138,0.006603249042792037
MT903342,KP849470,2019-01-01,2019,90374.0,2830,7376,10206,133,17,7,24,0.0014716622037311616,0.006007067137809187,0.0009490238611713665,0.0069560909989805535
ON676708,KP849470,2021-01-01,2021,90524.0,2842,7393,10235,149,31,8,39,0.0016459723388272723,0.010907811400422239,0.0010821046936291085,0.011989916094051346
OP257247,KP849470,2022-01-01,2022,90341.0,2835,7375,10210,152,34,8,42,0.0016825140301745607,0.01199294532627866,0.0010847457627118644,0.013077691088990524
ON563414,KP849470,2022-01-01,2022,90376.0,2830,7376,10206,152,34,7,41,0.0016818624413561121,0.012014134275618375,0.0009490238611713665,0.012963158136789742
OP257243,KP849470,2022-01-01,2022,89977.0,2821,7339,10160,152,35,7,42,0.001689320604154395,0.01240694789081886,0.0009538084207657719,0.013360756311584631
OP123044,KP849470,2022-01-01,2022,90341.0,2835,7375,10210,152,34,8,42,0.0016825140301745607,0.01199294532627866,0.0010847457627118644,0.013077691088990524
OP123045,KP849470,2022-01-01,2022,90341.0,2835,7375,10210,152,34,8,42,0.0016825140301745607,0.01199294532627866,0.0010847457627118644,0.013077691088990524
OP123041,KP849470,2022-01-01,2022,89977.0,2821,7340,10161,152,34,8,42,0.001689320604154395,0.012052463665366891,0.0010899182561307902,0.013142381921497682
OP123040,KP849470,2022-01-01,2022,89977.0,2821,7338,10159,151,34,7,41,0.001678206652811274,0.012052463665366891,0.0009539384028345599,0.013006402068201452
OP225968,KP849470,2022-01-01,2022,90765.0,2844,7411,10255,153,34,8,42,0.001685671789786812,0.011954992967651195,0.001079476453919849,0.013034469421571044
ON649713,KP849470,2022-01-01,2022,85094.0,2660,6955,9615,143,35,5,40,0.0016804945119514888,0.013157894736842105,0.0007189072609633358,0.01387680199780544
ON843176,KP849470,2022-01-01,2022,90734.0,2844,7410,10254,153,34,8,42,0.0016862477130954218,0.011954992967651195,0.0010796221322537112,0.013034615099904907
ON843174,KP849470,2022-01-01,2022,90362.0,2830,7374,10204,153,34,7,41,0.001693189615103694,0.012014134275618375,0.0009492812584757255,0.0129634155340941
ON843173,KP849470,2022-01-01,2022,90362.0,2830,7374,10204,152,34,7,41,0.0016821230163121667,0.012014134275618375,0.0009492812584757255,0.0129634155340941
ON843172,KP849470,2022-01-01,2022,90362.0,2830,7374,10204,152,34,7,41,0.0016821230163121667,0.012014134275618375,0.0009492812584757255,0.0129634155340941
ON694329,KP849470,2022-01-01,2022,90515.0,2835,7390,10225,152,34,7,41,0.0016792796774015356,0.01199294532627866,0.0009472259810554803,0.012940171307334141
ON813267,KP849470,2022-01-01,2022,90341.0,2835,7376,10211,153,34,9,43,0.0016935832014257093,0.01199294532627866,0.001220173535791757,0.013213118862070418
ON813266,KP849470,2022-01-01,2022,90341.0,2835,7375,10210,152,34,8,42,0.0016825140301745607,0.01199294532627866,0.0010847457627118644,0.013077691088990524
ON813261,KP849470,2022-01-01,2022,90341.0,2835,7375,10210,154,36,8,44,0.0017046523726768578,0.012698412698412698,0.0010847457627118644,0.013783158461124562
ON813255,KP849470,2022-01-01,2022,90341.0,2835,7376,10211,153,34,9,43,0.0016935832014257093,0.01199294532627866,0.001220173535791757,0.013213118862070418
ON813251,KP849470,2022-01-01,2022,89860.0,2827,7339,10166,151,34,9,43,0.0016803917204540396,0.012026883622214362,0.0012263251124131353,0.013253208734627497
