acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,MK783029,1968-01-01,1968,96662.0,2986,7919,10905,133,7,14,21,0.0013759284930996668,0.002344273275284662,0.0017678999873721429,0.0041121732626568045
KJ642617,MK783029,1971-01-01,1971,103084.0,3197,8475,11672,17,0,5,5,0.0001649140506771177,0.0,0.0005899705014749262,0.0005899705014749262
KP849470,MK783029,1971-01-01,1971,93406.0,2873,7642,10515,131,8,13,21,0.0014024794981050469,0.0027845457709711106,0.0017011253598534415,0.004485671130824552
NC_003310,MK783029,1996-01-01,1996,96651.0,2975,7920,10895,360,27,26,53,0.003724741596051774,0.00907563025210084,0.0032828282828282827,0.012358458534929123
JX878428,MK783029,2007-01-01,2007,95921.0,2953,7855,10808,338,24,25,49,0.0035237330720071726,0.008127328140873687,0.003182686187141948,0.011310014328015636
JX878410,MK783029,2007-01-01,2007,91174.0,2800,7460,10260,312,23,23,46,0.0034220282097966524,0.008214285714285714,0.0030831099195710457,0.01129739563385676
MK783028,MK783029,2017-01-01,2017,103082.0,3197,8475,11672,1,0,0,0,9.701014726140354e-6,0.0,0.0,0.0
MK783030,MK783029,2017-01-01,2017,103082.0,3197,8475,11672,5,4,0,4,4.850507363070177e-5,0.0012511729746637473,0.0,0.0012511729746637473
MK783032,MK783029,2017-01-01,2017,103082.0,3197,8475,11672,1,0,0,0,9.701014726140354e-6,0.0,0.0,0.0
MK783031,MK783029,2017-01-01,2017,103082.0,3197,8475,11672,2,1,0,1,1.9402029452280707e-5,0.00031279324366593683,0.0,0.00031279324366593683
MK783029,MK783029,2017-01-01,2017,103082.0,3197,8475,11672,0,0,0,0,0.0,0.0,0.0,0.0
MT903337,MK783029,2018-01-01,2018,103082.0,3197,8475,11672,3,1,0,1,2.9103044178421062e-5,0.00031279324366593683,0.0,0.00031279324366593683
MT903340,MK783029,2018-01-01,2018,103082.0,3197,8475,11672,4,3,0,3,3.8804058904561414e-5,0.0009383797309978105,0.0,0.0009383797309978105
MN648051,MK783029,2018-01-01,2018,103082.0,3197,8475,11672,6,4,0,4,5.8206088356842125e-5,0.0012511729746637473,0.0,0.0012511729746637473
