acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,ON676708,1968-01-01,1968,95995.0,2964,7901,10865,152,7,32,39,0.0015834158029064014,0.0023616734143049934,0.004050120237944564,0.006411793652249557
KJ642617,ON676708,1971-01-01,1971,103046.0,3185,8493,11678,38,0,25,25,0.000368767346621897,0.0,0.002943600612268927,0.002943600612268927
KP849470,ON676708,1971-01-01,1971,92751.0,2851,7624,10475,150,8,31,39,0.0016172332373774947,0.0028060329708874078,0.00406610703043022,0.006872140001317628
NC_003310,ON676708,1996-01-01,1996,96618.0,2966,7936,10902,377,27,42,69,0.003901964437268418,0.009103169251517195,0.005292338709677419,0.014395507961194615
JX878428,ON676708,2007-01-01,2007,95892.0,2944,7871,10815,355,24,41,65,0.0037020815083635755,0.008152173913043478,0.0052089950451022745,0.013361168958145753
JX878410,ON676708,2007-01-01,2007,90826.0,2783,7460,10243,327,22,39,61,0.003600290665668421,0.007905138339920948,0.005227882037533512,0.01313302037745446
MK783028,ON676708,2017-01-01,2017,103044.0,3185,8493,11678,22,0,20,20,0.00021350102868677458,0.0,0.0023548804898151417,0.0023548804898151417
MK783030,ON676708,2017-01-01,2017,103044.0,3185,8493,11678,26,4,20,24,0.0002523193975389154,0.0012558869701726845,0.0023548804898151417,0.0036107674599878264
MK783032,ON676708,2017-01-01,2017,103044.0,3185,8493,11678,22,0,20,20,0.00021350102868677458,0.0,0.0023548804898151417,0.0023548804898151417
MK783031,ON676708,2017-01-01,2017,103044.0,3185,8493,11678,23,1,20,21,0.00022320562089980979,0.0003139717425431711,0.0023548804898151417,0.002668852232358313
MK783029,ON676708,2017-01-01,2017,103044.0,3185,8493,11678,23,0,20,20,0.00022320562089980979,0.0,0.0023548804898151417,0.0023548804898151417
MT903337,ON676708,2018-01-01,2018,103049.0,3185,8493,11678,24,1,20,21,0.00023289891216799776,0.0003139717425431711,0.0023548804898151417,0.002668852232358313
MT903340,ON676708,2018-01-01,2018,103049.0,3186,8493,11679,25,3,20,23,0.000242603033508331,0.0009416195856873823,0.0023548804898151417,0.003296500075502524
MN648051,ON676708,2018-01-01,2018,103008.0,3184,8489,11673,19,0,16,16,0.00018445169307238271,0.0,0.0018847920838732477,0.0018847920838732477
MT903343,ON676708,2018-01-01,2018,103049.0,3186,8493,11679,18,0,16,16,0.00017467418412599832,0.0,0.0018839043918521135,0.0018839043918521135
MT903344,ON676708,2018-01-01,2018,103049.0,3186,8493,11679,16,0,14,14,0.00015526594144533182,0.0,0.0016484163428705993,0.0016484163428705993
MT903345,ON676708,2018-01-01,2018,103049.0,3186,8493,11679,16,0,14,14,0.00015526594144533182,0.0,0.0016484163428705993,0.0016484163428705993
NC_063383,ON676708,2018-01-01,2018,103049.0,3186,8493,11679,25,3,20,23,0.000242603033508331,0.0009416195856873823,0.0023548804898151417,0.003296500075502524
MT903342,ON676708,2019-01-01,2019,103049.0,3186,8493,11679,19,1,16,17,0.00018437830546633155,0.00031387319522912746,0.0018839043918521135,0.002197777587081241
ON676708,ON676708,2021-01-01,2021,103049.0,3186,8493,11679,0,0,0,0,0.0,0.0,0.0,0.0
OP257247,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON563414,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
OP257243,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,8,5,1,6,7.763297072266591e-5,0.001569365976145637,0.0001177440244907571,0.001687110000636394
OP123044,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
OP123045,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,7,4,1,5,6.792884938233267e-5,0.0012554927809165098,0.0001177440244907571,0.0013732368054072668
OP123041,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
OP123040,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
OP225968,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON649713,ON676708,2022-01-01,2022,98873.0,3045,8177,11222,7,4,1,5,7.0797892245608e-5,0.0013136288998357964,0.00012229423994129877,0.0014359231397770953
ON843176,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON843174,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,7,3,1,4,6.792884938233267e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON843173,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON843172,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON694329,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON813267,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON813266,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON813261,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,8,5,1,6,7.763297072266591e-5,0.001569365976145637,0.0001177440244907571,0.001687110000636394
ON813255,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
ON813251,ON676708,2022-01-01,2022,102551.0,3178,8455,11633,6,3,1,4,5.850747432984564e-5,0.0009439899307740718,0.00011827321111768185,0.0010622631418917537
OP215267,ON676708,2022-01-01,2022,103049.0,3186,8493,11679,6,3,1,4,5.822472804199944e-5,0.0009416195856873823,0.0001177440244907571,0.0010593636101781394
