acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642616,MN648051,1968-01-01,1968,96561.0,2980,7913,10893,136,7,18,25,0.0014084361181015109,0.002348993288590604,0.0022747377732844688,0.004623731061875073
KJ642617,MN648051,1971-01-01,1971,102983.0,3191,8469,11660,21,0,9,9,0.0002039171513744987,0.0,0.0010626992561105207,0.0010626992561105207
KP849470,MN648051,1971-01-01,1971,93317.0,2867,7636,10503,134,8,17,25,0.0014359655796907316,0.0027903732124171608,0.0022262964903090625,0.005016669702726223
NC_003310,MN648051,1996-01-01,1996,96550.0,2969,7914,10883,364,27,30,57,0.0037700673226307613,0.009093971034018189,0.0037907505686125853,0.012884721602630773
JX878428,MN648051,2007-01-01,2007,95820.0,2947,7849,10796,342,24,29,53,0.003569192235441453,0.008143875127248049,0.003694738183208052,0.011838613310456101
JX878410,MN648051,2007-01-01,2007,91085.0,2794,7454,10248,316,23,27,50,0.003469286929790855,0.0082319255547602,0.0036222162597263213,0.011854141814486522
MK783028,MN648051,2017-01-01,2017,102981.0,3191,8469,11660,5,0,4,4,4.855264563366058e-5,0.0,0.0004723107804935648,0.0004723107804935648
MK783030,MN648051,2017-01-01,2017,102981.0,3191,8469,11660,9,4,4,8,8.739476214058904e-5,0.0012535255405828893,0.0004723107804935648,0.0017258363210764542
MK783032,MN648051,2017-01-01,2017,102981.0,3191,8469,11660,5,0,4,4,4.855264563366058e-5,0.0,0.0004723107804935648,0.0004723107804935648
MK783031,MN648051,2017-01-01,2017,102981.0,3191,8469,11660,6,1,4,5,5.8263174760392695e-5,0.00031338138514572234,0.0004723107804935648,0.0007856921656392872
MK783029,MN648051,2017-01-01,2017,102981.0,3191,8469,11660,6,0,4,4,5.8263174760392695e-5,0.0,0.0004723107804935648,0.0004723107804935648
MT903337,MN648051,2018-01-01,2018,102981.0,3191,8469,11660,7,1,4,5,6.797370388712481e-5,0.00031338138514572234,0.0004723107804935648,0.0007856921656392872
MT903340,MN648051,2018-01-01,2018,102981.0,3191,8469,11660,8,3,4,7,7.768423301385693e-5,0.000940144155437167,0.0004723107804935648,0.0014124549359307318
MN648051,MN648051,2018-01-01,2018,102981.0,3191,8469,11660,0,0,0,0,0.0,0.0,0.0,0.0
MT903343,MN648051,2018-01-01,2018,102981.0,3191,8469,11660,1,0,0,0,9.710529126732116e-6,0.0,0.0,0.0
MT903344,MN648051,2018-01-01,2018,102981.0,3191,8469,11660,3,2,0,2,2.9131587380196348e-5,0.0006267627702914447,0.0,0.0006267627702914447
MT903345,MN648051,2018-01-01,2018,102981.0,3191,8469,11660,3,2,0,2,2.9131587380196348e-5,0.0006267627702914447,0.0,0.0006267627702914447
NC_063383,MN648051,2018-01-01,2018,102981.0,3191,8469,11660,8,3,4,7,7.768423301385693e-5,0.000940144155437167,0.0004723107804935648,0.0014124549359307318
MT903342,MN648051,2019-01-01,2019,102981.0,3191,8469,11660,2,1,0,1,1.9421058253464233e-5,0.00031338138514572234,0.0,0.00031338138514572234
ON676708,MN648051,2021-01-01,2021,102608.0,3182,8437,11619,19,16,0,16,0.0001851707469203181,0.00502828409805154,0.0,0.00502828409805154
OP257247,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
ON563414,MN648051,2022-01-01,2022,102981.0,3191,8469,11660,21,18,0,18,0.00020392111166137443,0.005640864932623002,0.0,0.005640864932623002
OP257243,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,23,20,0,20,0.0002241540620614377,0.006285355122564425,0.0,0.006285355122564425
OP123044,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
OP123045,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,22,19,0,19,0.0002144082332761578,0.005971087366436203,0.0,0.005971087366436203
OP123041,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
OP123040,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
OP225968,MN648051,2022-01-01,2022,102981.0,3191,8469,11660,21,18,0,18,0.00020392111166137443,0.005640864932623002,0.0,0.005640864932623002
ON649713,MN648051,2022-01-01,2022,98432.0,3041,8121,11162,22,19,0,19,0.00022350455136540962,0.006247944755014798,0.0,0.006247944755014798
ON843176,MN648051,2022-01-01,2022,102981.0,3191,8469,11660,21,18,0,18,0.00020392111166137443,0.005640864932623002,0.0,0.005640864932623002
ON843174,MN648051,2022-01-01,2022,102981.0,3191,8469,11660,22,18,0,18,0.00021363164078810654,0.005640864932623002,0.0,0.005640864932623002
ON843173,MN648051,2022-01-01,2022,102981.0,3191,8469,11660,21,18,0,18,0.00020392111166137443,0.005640864932623002,0.0,0.005640864932623002
ON843172,MN648051,2022-01-01,2022,102981.0,3191,8469,11660,21,18,0,18,0.00020392111166137443,0.005640864932623002,0.0,0.005640864932623002
ON694329,MN648051,2022-01-01,2022,102981.0,3191,8469,11660,21,18,0,18,0.00020392111166137443,0.005640864932623002,0.0,0.005640864932623002
ON813267,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
ON813266,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
ON813261,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,23,20,0,20,0.0002241540620614377,0.006285355122564425,0.0,0.006285355122564425
ON813255,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
ON813251,MN648051,2022-01-01,2022,102106.0,3174,8399,11573,21,18,0,18,0.00020566861888625547,0.005671077504725898,0.0,0.005671077504725898
OP215267,MN648051,2022-01-01,2022,102608.0,3182,8437,11619,21,18,0,18,0.0002046624044908779,0.0056568196103079825,0.0,0.0056568196103079825
