acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642617.1,JX878428.1,1971-01-01,1971,105553.0,3287,8662,11949,354,27,28,55,0.0033537654069519577,0.008214177061149984,0.0032325098129762178,0.011446686874126201
KP849470.1,JX878428.1,1971-01-01,1971,105227.0,3277,8639,11916,351,27,30,57,0.0033356457943303523,0.00823924321025328,0.0034726241463132307,0.011711867356566511
JX878428.1,JX878428.1,2007-06-01,2007,106899.0,3318,8756,12074,0,0,0,0,0.0,0.0,0.0,0.0
MK783028.1,JX878428.1,2017-11-01,2017,105553.0,3287,8662,11949,362,28,28,56,0.0034295567155836404,0.008518405841192577,0.0032325098129762178,0.011750915654168794
MK783030.1,JX878428.1,2017-11-01,2017,105553.0,3287,8662,11949,364,30,28,58,0.003448504542741561,0.009126863401277762,0.0032325098129762178,0.012359373214253979
MK783032.1,JX878428.1,2017-11-01,2017,105553.0,3287,8662,11949,362,28,28,56,0.0034295567155836404,0.008518405841192577,0.0032325098129762178,0.011750915654168794
MK783031.1,JX878428.1,2017-11-01,2017,105553.0,3287,8662,11949,363,29,28,57,0.003439030629162601,0.008822634621235169,0.0032325098129762178,0.012055144434211386
MK783029.1,JX878428.1,2017-12-01,2017,105553.0,3287,8662,11949,363,28,28,56,0.003439030629162601,0.008518405841192577,0.0032325098129762178,0.011750915654168794
MT903337.1,JX878428.1,2020-09-01,2020,105553.0,3287,8662,11949,364,29,28,57,0.003448504542741561,0.008822634621235169,0.0032325098129762178,0.012055144434211386
MT903340.1,JX878428.1,2020-09-01,2020,105553.0,3287,8662,11949,365,31,28,59,0.0034579784563205213,0.009431092181320353,0.0032325098129762178,0.01266360199429657
MN648051.1,JX878428.1,2018-10-01,2018,105553.0,3287,8662,11949,368,32,28,60,0.0034864001970574023,0.009735320961362945,0.0032325098129762178,0.012967830774339162
MT903343.1,JX878428.1,2020-09-01,2020,105553.0,3287,8662,11949,366,32,28,60,0.003467452369899482,0.009735320961362945,0.0032325098129762178,0.012967830774339162
MT903342.1,JX878428.1,2020-09-01,2020,105553.0,3287,8662,11949,367,33,28,61,0.003476926283478442,0.010039549741405538,0.0032325098129762178,0.013272059554381755
OP257247,JX878428.1,2022-08-01,2022,105553.0,3287,8662,11949,381,46,28,74,0.0036095610735838867,0.013994523881959233,0.0032325098129762178,0.017227033694935452
ON563414.3,JX878428.1,2022-05-01,2022,105553.0,3287,8662,11949,380,46,28,74,0.0036000871600049265,0.013994523881959233,0.0032325098129762178,0.017227033694935452
OP257243,JX878428.1,2022-08-01,2022,105553.0,3287,8662,11949,383,48,28,76,0.0036285089007418074,0.014602981442044418,0.0032325098129762178,0.017835491255020635
OP123044,JX878428.1,2022-07-01,2022,105553.0,3287,8662,11949,381,46,28,74,0.0036095610735838867,0.013994523881959233,0.0032325098129762178,0.017227033694935452
OP123045,JX878428.1,2022-07-01,2022,105553.0,3287,8662,11949,382,47,28,75,0.0036190349871628473,0.014298752662001825,0.0032325098129762178,0.017531262474978042
OP123041,JX878428.1,2022-07-01,2022,105553.0,3287,8662,11949,381,46,28,74,0.0036095610735838867,0.013994523881959233,0.0032325098129762178,0.017227033694935452
OP123040,JX878428.1,2022-07-01,2022,105553.0,3287,8662,11949,381,46,28,74,0.0036095610735838867,0.013994523881959233,0.0032325098129762178,0.017227033694935452
OP225968,JX878428.1,2022-06-01,2022,105553.0,3287,8662,11949,381,46,28,74,0.0036095610735838867,0.013994523881959233,0.0032325098129762178,0.017227033694935452
ON649713.1,JX878428.1,2022-05-01,2022,104354.0,3246,8575,11821,376,47,28,75,0.003603120148724534,0.01447935921133703,0.0032653061224489797,0.01774466533378601
ON843176,JX878428.1,2022-06-01,2022,105553.0,3287,8662,11949,380,46,28,74,0.0036000871600049265,0.013994523881959233,0.0032325098129762178,0.017227033694935452
ON843174,JX878428.1,2022-05-01,2022,105553.0,3287,8662,11949,381,46,28,74,0.0036095610735838867,0.013994523881959233,0.0032325098129762178,0.017227033694935452
ON843173,JX878428.1,2022-05-01,2022,105553.0,3287,8662,11949,380,46,28,74,0.0036000871600049265,0.013994523881959233,0.0032325098129762178,0.017227033694935452
ON843172,JX878428.1,2022-05-01,2022,105553.0,3287,8662,11949,380,46,28,74,0.0036000871600049265,0.013994523881959233,0.0032325098129762178,0.017227033694935452
ON694329.1,JX878428.1,2022-05-01,2022,105553.0,3287,8662,11949,382,46,28,74,0.0036190349871628473,0.013994523881959233,0.0032325098129762178,0.017227033694935452
ON813267,JX878428.1,2022-06-01,2022,105553.0,3287,8662,11949,382,46,28,74,0.0036190349871628473,0.013994523881959233,0.0032325098129762178,0.017227033694935452
