acc,ref_acc,date,year,Nₛᵧₘ,Nₐₚₒₛᵧₘ,Nₐₚₒₛᵧₘ⁻¹,Nₐ₊₋,Oₛᵧₘ,Oₐₚₒₛᵧₘ,Oₐₚₒₛᵧₘ⁻¹,Oₐ₊₋,pₛᵧₘ,pₐₚₒₛᵧₘ,pₐₚₒₛᵧₘ⁻¹,pₐ₊₋
KJ642617.1,KP849470.1,1971-01-01,1971,105187.0,3272,8648,11920,133,13,8,21,0.0012644148041107742,0.003973105134474328,0.0009250693802035153,0.004898174514677843
KP849470.1,KP849470.1,1971-01-01,1971,105184.0,3272,8649,11921,0,0,0,0,0.0,0.0,0.0,0.0
JX878428.1,KP849470.1,2007-06-01,2007,104875.0,3265,8619,11884,348,30,27,57,0.0033182359952324196,0.009188361408882083,0.003132613992342499,0.012320975401224583
MK783028.1,KP849470.1,2017-11-01,2017,105187.0,3272,8648,11920,141,17,8,25,0.0013404698299219486,0.00519559902200489,0.0009250693802035153,0.006120668402208405
MK783030.1,KP849470.1,2017-11-01,2017,105187.0,3272,8648,11920,145,21,8,29,0.0013784973428275357,0.006418092909535452,0.0009250693802035153,0.0073431622897389675
MK783032.1,KP849470.1,2017-11-01,2017,105187.0,3272,8648,11920,140,17,8,25,0.0013309629516955518,0.00519559902200489,0.0009250693802035153,0.006120668402208405
MK783031.1,KP849470.1,2017-11-01,2017,105187.0,3272,8648,11920,142,18,8,26,0.0013499767081483454,0.005501222493887531,0.0009250693802035153,0.006426291874091046
MK783029.1,KP849470.1,2017-12-01,2017,105187.0,3272,8648,11920,142,17,8,25,0.0013499767081483454,0.00519559902200489,0.0009250693802035153,0.006120668402208405
MT903337.1,KP849470.1,2020-09-01,2020,105187.0,3272,8648,11920,143,18,8,26,0.001359483586374742,0.005501222493887531,0.0009250693802035153,0.006426291874091046
MT903340.1,KP849470.1,2020-09-01,2020,105187.0,3272,8648,11920,144,20,8,28,0.0013689904646011389,0.006112469437652812,0.0009250693802035153,0.007037538817856327
MN648051.1,KP849470.1,2018-10-01,2018,105187.0,3272,8648,11920,146,21,8,29,0.0013880042210539325,0.006418092909535452,0.0009250693802035153,0.0073431622897389675
MT903343.1,KP849470.1,2020-09-01,2018,105187.0,3272,8648,11920,145,21,8,29,0.0013784973428275357,0.006418092909535452,0.0009250693802035153,0.0073431622897389675
MT903342.1,KP849470.1,2020-09-01,2018,105187.0,3272,8648,11920,146,22,8,30,0.0013880042210539325,0.006723716381418093,0.0009250693802035153,0.007648785761621608
OP257247,KP849470.1,2022-08-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON563414.3,KP849470.1,2022-05-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
OP257243,KP849470.1,2022-08-01,2022,105187.0,3272,8648,11920,167,41,8,49,0.0015876486638082652,0.012530562347188265,0.0009250693802035153,0.01345563172739178
OP123044,KP849470.1,2022-07-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
OP123045,KP849470.1,2022-07-01,2022,105187.0,3272,8648,11920,166,40,8,48,0.0015781417855818686,0.012224938875305624,0.0009250693802035153,0.01315000825550914
OP123041,KP849470.1,2022-07-01,2022,105187.0,3272,8649,11921,166,39,9,48,0.0015781417855818686,0.011919315403422982,0.001040582726326743,0.012959898129749726
OP123040,KP849470.1,2022-07-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
OP225968,KP849470.1,2022-06-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON649713.1,KP849470.1,2022-05-01,2022,103991.0,3232,8563,11795,161,40,8,48,0.0015482109028665942,0.012376237623762377,0.0009342520144809063,0.013310489638243283
ON843176,KP849470.1,2022-06-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON843174,KP849470.1,2022-05-01,2022,105187.0,3272,8648,11920,166,39,8,47,0.0015781417855818686,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON843173,KP849470.1,2022-05-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON843172,KP849470.1,2022-05-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON694329.1,KP849470.1,2022-05-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON813267,KP849470.1,2022-06-01,2022,105187.0,3272,8649,11921,166,39,9,48,0.0015781417855818686,0.011919315403422982,0.001040582726326743,0.012959898129749726
ON813266,KP849470.1,2022-06-01,2022,105187.0,3272,8648,11920,165,39,8,47,0.0015686349073554717,0.011919315403422982,0.0009250693802035153,0.012844384783626497
ON813261,KP849470.1,2022-06-01,2022,105187.0,3272,8648,11920,167,41,8,49,0.0015876486638082652,0.012530562347188265,0.0009250693802035153,0.01345563172739178
ON813255,KP849470.1,2022-06-01,2022,105187.0,3272,8649,11921,166,39,9,48,0.0015781417855818686,0.011919315403422982,0.001040582726326743,0.012959898129749726
ON813251,KP849470.1,2022-06-01,2022,104725.0,3265,8612,11877,163,38,9,47,0.0015564573883981858,0.011638591117917305,0.0010450534138411519,0.012683644531758456
